pressure,temperature,dewpoint,u_wind,v_wind,altitude
564.2,-1.48,-11.8,-42.665,-16.377,2005.2
564.1,-1.48,-11.8,-42.571,-16.342,2006.7
564.0,-1.47,-11.9,-42.385,-16.27,2008.1
563.9,-1.48,-11.9,-42.291,-16.234,2009.5
563.8,-1.48,-12.0,-42.104,-16.162,2010.9
563.7,-1.49,-12.0,-42.011,-16.127,2012.3
563.6,-1.5,-12.1,-41.824,-16.055,2013.8
563.5,-1.51,-12.1,-41.918,-16.091,2015.2
563.4,-1.52,-12.2,-42.38,-15.425,2016.6
563.3,-1.52,-12.2,-42.568,-15.494,2018.0
563.2,-1.53,-12.3,-42.85,-15.596,2019.4
563.1,-1.55,-12.3,-43.038,-15.665,2020.8
563.0,-1.58,-12.4,-43.226,-15.733,2022.3
562.9,-1.61,-12.4,-43.414,-15.801,2023.7
562.8,-1.63,-12.4,-43.602,-15.87,2025.1
562.7,-1.66,-12.4,-43.79,-15.938,2026.7
562.6,-1.67,-12.4,-44.25,-15.237,2027.6
562.5,-1.7,-12.4,-44.439,-15.302,2029.5
562.4,-1.71,-12.4,-44.345,-15.269,2030.4
562.3,-1.74,-12.4,-44.156,-15.204,2032.3
562.2,-1.74,-12.4,-44.061,-15.171,2033.2
562.1,-1.75,-12.4,-43.872,-15.106,2035.1
562.0,-1.75,-12.4,-43.778,-15.074,2036.0
561.9,-1.76,-12.4,-43.588,-15.009,2037.8
561.8,-1.76,-12.4,-43.494,-14.976,2038.8
561.7,-1.77,-12.4,-43.305,-14.911,2040.6
561.6,-1.78,-12.4,-43.21,-14.878,2042.5
561.5,-1.78,-12.4,-43.116,-14.846,2043.4
561.4,-1.79,-12.4,-42.927,-14.781,2045.3
561.3,-1.79,-12.5,-43.083,-13.998,2046.2
561.2,-1.8,-12.5,-42.893,-13.937,2048.1
561.1,-1.81,-12.5,-42.607,-13.844,2049.0
561.0,-1.84,-12.5,-41.886,-14.423,2050.9
560.9,-1.85,-12.5,-41.697,-14.358,2051.8
560.8,-1.87,-12.6,-41.225,-14.195,2053.7
560.7,-1.88,-12.6,-40.941,-14.097,2054.8
560.6,-1.9,-12.6,-40.752,-14.032,2055.9
560.5,-1.92,-12.6,-39.937,-14.536,2058.0
560.4,-1.93,-12.6,-39.749,-14.467,2059.0
560.3,-1.94,-12.6,-39.467,-14.365,2060.1
560.2,-1.97,-12.6,-38.997,-14.194,2062.2
560.1,-1.98,-12.6,-38.557,-14.801,2063.3
560.0,-1.99,-12.6,-38.277,-14.693,2064.3
559.9,-2.02,-12.6,-37.81,-14.514,2066.5
559.8,-2.04,-12.6,-37.717,-14.478,2067.5
559.7,-2.05,-12.6,-37.903,-14.55,2068.6
559.6,-2.08,-12.6,-38.183,-14.657,2070.7
559.5,-2.09,-12.6,-38.527,-14.023,2071.8
559.4,-2.12,-12.6,-38.809,-14.125,2073.9
559.3,-2.13,-12.6,-38.903,-14.16,2074.9
559.2,-2.15,-12.6,-38.997,-14.194,2076.0
559.1,-2.17,-12.6,-39.279,-14.296,2078.1
559.0,-2.19,-12.6,-39.712,-13.674,2079.2
558.9,-2.2,-12.6,-39.806,-13.706,2080.2
558.8,-2.22,-12.6,-40.09,-13.804,2082.4
558.7,-2.24,-12.6,-40.185,-13.837,2083.4
558.6,-2.25,-12.6,-40.374,-13.902,2084.5
558.5,-2.27,-12.6,-40.8,-13.257,2086.6
558.4,-2.28,-12.6,-40.991,-13.319,2087.5
558.3,-2.31,-12.6,-41.276,-13.411,2089.1
558.2,-2.33,-12.6,-41.466,-13.473,2090.8
558.1,-2.34,-12.6,-41.466,-13.473,2091.6
558.0,-2.37,-12.7,-41.371,-13.442,2093.2
557.9,-2.38,-12.7,-41.181,-13.38,2094.8
557.8,-2.38,-12.7,-41.181,-13.38,2095.7
557.7,-2.38,-12.7,-41.312,-12.63,2097.3
557.6,-2.38,-12.7,-41.121,-12.572,2098.9
557.5,-2.37,-12.8,-41.025,-12.543,2100.6
557.4,-2.37,-12.8,-40.93,-12.514,2101.4
557.3,-2.37,-12.8,-40.834,-12.484,2103.0
557.2,-2.37,-12.8,-40.739,-12.455,2104.7
557.1,-2.36,-12.9,-40.643,-12.426,2106.3
557.0,-2.36,-12.9,-40.547,-12.397,2107.1
556.9,-2.36,-13.0,-40.452,-12.367,2108.7
556.8,-2.36,-13.0,-40.547,-12.397,2109.6
556.6,-2.36,-13.1,-40.834,-12.484,2112.7
556.5,-2.36,-13.1,-41.025,-12.543,2114.7
556.4,-2.36,-13.1,-41.43,-11.88,2116.6
556.2,-2.36,-13.1,-41.527,-11.908,2118.6
556.1,-2.36,-13.2,-41.719,-11.963,2120.5
556.0,-2.36,-13.2,-41.911,-12.018,2122.5
555.8,-2.36,-13.2,-42.103,-12.073,2124.5
555.7,-2.35,-13.3,-42.199,-12.1,2126.4
555.6,-2.35,-13.3,-42.597,-11.414,2128.4
555.4,-2.35,-13.3,-42.791,-11.466,2130.3
555.3,-2.37,-13.3,-42.984,-11.517,2132.3
555.1,-2.41,-13.3,-43.177,-11.569,2134.2
